CustomerID,Age,Gender,Income,Location,PurchaseDate,AmountSpent,PageViews,EmailSubscribed,LastLoginDate
GQQBDU,22,Male,73446,Rural,2023-08-16 01:48:37.656089,313.35,43,False,2023-01-03 01:48:37.663200
GQQBDU,22,Male,73446,Rural,2023-04-25 01:48:37.656671,212.63,43,False,2023-01-03 01:48:37.663200
FRKBND,40,Male,29047,Urban,2022-10-20 01:48:37.655925,269.05,98,False,2023-04-26 01:48:37.663526
FRKBND,40,Male,29047,Urban,2023-02-12 01:48:37.655988,318.98,98,False,2023-04-26 01:48:37.663526
FRKBND,40,Male,29047,Urban,2023-05-25 01:48:37.657492,206.87,98,False,2023-04-26 01:48:37.663526
DGOPCF,64,Male,31072,Rural,2023-03-02 01:48:37.656385,338.32,18,True,2023-02-27 01:48:37.663096
DGOPCF,64,Male,31072,Rural,2023-03-02 01:48:37.656385,338.32,61,False,2023-07-04 01:48:37.663164
DGOPCF,64,Male,31072,Rural,2023-03-02 01:48:37.656385,338.32,91,True,2023-05-18 01:48:37.663728
DGOPCF,64,Male,31072,Rural,2023-08-31 01:48:37.657432,407.41,18,True,2023-02-27 01:48:37.663096
DGOPCF,64,Male,31072,Rural,2023-08-31 01:48:37.657432,407.41,61,False,2023-07-04 01:48:37.663164
DGOPCF,64,Male,31072,Rural,2023-08-31 01:48:37.657432,407.41,91,True,2023-05-18 01:48:37.663728
M8M790,31,Male,94963,Rural,2022-12-25 01:48:37.656285,172.86,12,True,2022-12-25 01:48:37.663461
ZY2BBB,24,Male,58997,Urban,2022-10-25 01:48:37.656676,91.09,65,True,2022-12-06 01:48:37.663332
ZY2BBB,24,Male,58997,Urban,2022-10-25 01:48:37.656676,91.09,20,True,2023-04-28 01:48:37.663379
ZY2BBB,24,Male,58997,Urban,2023-08-15 01:48:37.657167,426.68,65,True,2022-12-06 01:48:37.663332
ZY2BBB,24,Male,58997,Urban,2023-08-15 01:48:37.657167,426.68,20,True,2023-04-28 01:48:37.663379
ZY2BBB,24,Male,58997,Urban,2023-05-30 01:48:37.657208,212.81,65,True,2022-12-06 01:48:37.663332
ZY2BBB,24,Male,58997,Urban,2023-05-30 01:48:37.657208,212.81,20,True,2023-04-28 01:48:37.663379
64UQZA,27,Male,37549,Rural,2023-04-29 01:48:37.656650,349.37,89,False,2023-02-23 01:48:37.663149
7P9EWH,65,Female,24454,Rural,2023-05-09 01:48:37.657101,24.39,100,True,2022-12-26 01:48:37.663173
7P9EWH,65,Female,24454,Rural,2023-05-09 01:48:37.657101,24.39,83,True,2023-09-11 01:48:37.663504
7P9EWH,65,Female,24454,Rural,2022-12-01 01:48:37.657348,87.09,100,True,2022-12-26 01:48:37.663173
7P9EWH,65,Female,24454,Rural,2022-12-01 01:48:37.657348,87.09,83,True,2023-09-11 01:48:37.663504
HLECAG,58,Female,47189,Rural,2023-01-03 01:48:37.656309,92.56,95,False,2023-02-23 01:48:37.663604
20DFJ1,47,Female,85348,Rural,2023-02-13 01:48:37.656162,497.56,76,True,2023-02-24 01:48:37.663742
20DFJ1,47,Female,85348,Rural,2023-06-12 01:48:37.657186,125.41,76,True,2023-02-24 01:48:37.663742
ZIBF0N,63,Female,29939,Rural,2023-07-28 01:48:37.657292,422.57,91,True,2023-08-11 01:48:37.663089
ZIBF0N,63,Female,29939,Rural,2023-07-28 01:48:37.657292,422.57,25,False,2022-10-30 01:48:37.663656
0EDZWC,57,Female,69412,Suburban,2022-10-31 01:48:37.655937,171.61,57,False,2023-09-04 01:48:37.663435
0EDZWC,57,Female,69412,Suburban,2022-12-30 01:48:37.656694,141.83,57,False,2023-09-04 01:48:37.663435
0EDZWC,57,Female,69412,Suburban,2023-02-07 01:48:37.656934,462.61,57,False,2023-09-04 01:48:37.663435
